movie_sk,title,genre,director,average_rating,weighted_rating,num_votes,log_votes,rating_diff,popularity_level
8289,puppy love,"comedy, romance",unknown_director,6.959,6.7281413050238,342,2.5352941200427703,0.3098123686580596,low
5248,money shot: the pornhub story,documentary,unknown_director,5.781,6.42745393249586,343,2.53655844257153,-0.8681876313419403,low
147,gigi,"comedy, romance",vincente minnelli,6.22,6.539573813359596,343,2.53655844257153,-0.4291876313419402,low
6349,running with the devil,"crime, drama, thriller",unknown_director,5.415,6.333978132049098,343,2.53655844257153,-1.23418763134194,low
1776,we die young,"drama, action, crime, thriller",unknown_director,6.77,6.680109844748468,344,2.537819095073274,0.1208123686580595,low
3919,yummy,"horror, comedy",unknown_director,6.307,6.561603892367514,344,2.537819095073274,-0.3421876313419396,low
3347,200 pounds beauty,"drama, comedy, romance",kim yong-hwa,6.81,6.690436900625977,345,2.5390760987927767,0.1608123686580595,low
3466,the anomaly,"thriller, action, science fiction",unknown_director,5.0,6.226161807689174,345,2.5390760987927767,-1.64918763134194,low
4704,gemma bovery,"romance, drama, comedy",anne fontaine,6.152,6.521656231480995,345,2.5390760987927767,-0.4971876313419398,low
9280,ace of aces,"adventure, comedy",grard oury,7.045,6.750715711034899,345,2.5390760987927767,0.3958123686580599,low
5234,sharknado 5: global swarming,"action, comedy, horror, science fiction, tv movie",unknown_director,4.8,6.174860692447537,345,2.5390760987927767,-1.84918763134194,low
3740,dr. t & the women,"comedy, drama, romance",robert altman,4.9,6.200511250068356,345,2.5390760987927767,-1.7491876313419397,low
9974,goon: last of the enforcers,comedy,unknown_director,5.704,6.406741733339731,345,2.5390760987927767,-0.9451876313419402,low
7183,forgotten love,"drama, romance",unknown_director,7.825,6.951439547802334,346,2.5403294747908736,1.1758123686580602,low
4244,nightbitch,"comedy, horror",marielle heller,5.766,6.422157229823136,346,2.5403294747908736,-0.88318763134194,low
4261,begotten,"fantasy, horror",e. elias merhige,5.916,6.460715922245127,346,2.5403294747908736,-0.7331876313419396,low
8175,deadly illusions,"thriller, drama",unknown_director,4.9,6.199545045573507,346,2.5403294747908736,-1.7491876313419397,low
9039,deep blue sea 3,"action, horror, science fiction",john pogue,5.555,6.3679180024828685,346,2.5403294747908736,-1.0941876313419403,low
