id,title,averageRating,numVotes,genres,director,cast,overview
357953,Return,6.924,656,,Bill Viola,Bill Viola,"Return is a methodical construction of the approach of an individual towards an unseen goal, which assumes metaphorical significance. Viola moves toward the camera/viewer, pausing every few steps to ring a bell, at which point he is momentarily thrust back to his starting place, and then advanced again. Finally reaching his destination, he is taken through all of the previous stages in a single instant and returned to the source of his journey."
9461,Enter the Dragon,7.417,2055,Action,Robert Clouse,"Bruce Lee, John Saxon, Jim Kelly, Sek Kin, Ahna Capri",A martial artist agrees to spy on a reclusive crime lord using his invitation to a tournament there as cover.
333669,Bastille Day,6.318,1508,Action,James Watkins,"Idris Elba, Richard Madden, Charlotte Le Bon, Kelly Reilly, José Garcia","Michael Mason is an American pickpocket living in Paris who finds himself hunted by the CIA when he steals a bag that contains more than just a wallet. Sean Briar, the field agent on the case, soon realises that Michael is just a pawn in a much bigger game and is also his best asset to uncover a large-scale conspiracy."
97430,The Man with the Iron Fists,5.532,1197,Action,RZA,"RZA, Russell Crowe, Pam Grier, Dave Bautista, Lucy Liu","In feudal China, a blacksmith who makes weapons for a small village is put in the position where he must defend himself and his fellow villagers."
9399,Lionheart,6.576,1130,Action,Sheldon Lettich,"Jean-Claude Van Damme, Harrison Page, Lisa Pelikan, Ashley Johnson, Deborah Rennard","Lyon Gaultier is a deserter in the Foreign Legion arriving in the USA entirely hard up. He finds his brother between life and death and his sister-in-law without the money needed to heal her husband and to maintain her child. To earn the money needed, Gaultier decides to take part in some very dangerous clandestine fights."
12481,The Big Boss,7.067,819,Action,Lo Wei,"Bruce Lee, Maria Yi, James Tien Chun, Marilyn Bautista, Han Ying-Chieh","Cheng is a young Chinese mainlander who moves in with his expatriate cousins to work at an ice factory in Thailand. He does this with a family promise never to get involved in any fights. However, when members of his family begin disappearing after meeting the management of the factory, the resulting mystery and pressures force him to break that vow and take on the villainy of the Big Boss."
8975,The Marine,5.98,812,Action,John Bonito,"John Cena, Robert Patrick, Kelly Carlson, Anthony Ray Parker, Abigail Bianca",A group of diamond thieves on the run kidnap the wife of a recently discharged marine who goes on a chase through the South Carolinian wilderness to retrieve her.
178,Blown Away,6.213,604,Action,Stephen Hopkins,"Jeff Bridges, Tommy Lee Jones, Suzy Amis, Lloyd Bridges, Forest Whitaker","Blown Away tells the story of Jimmy Dove, who works for the Boston bomb squad. Shortly after Dove leaves the force, his partner is killed by a bomb that Dove thinks might have been made by someone he knows."
17809,Fist of Legend,7.467,595,Action,Gordon Chan,"Jet Li, Shinobu Nakayama, Chin Siu-Ho, Billy Chow Bei-Lei, Yasuaki Kurata","Chen returns to his school when he finds out that his martial arts teacher has died. When he learns that his school students are harassed by some hooligans, he gears himself up to save them."
250066,American Heist,4.784,372,Action,Sarik Andreasyan,"Hayden Christensen, Adrien Brody, Jordana Brewster, Akon, Tory Kittles","Two brothers, both with troubled paths, find themselves in the middle of one last bank job."
177677,Mission: Impossible - Rogue Nation,7.221,9608,"Action, Adventure",Christopher McQuarrie,"Tom Cruise, Jeremy Renner, Simon Pegg, Rebecca Ferguson, Ving Rhames","Ethan and team take on their most impossible mission yet—eradicating 'The Syndicate', an International and highly-skilled rogue organization committed to destroying the IMF."
353081,Mission: Impossible - Fallout,7.448,9027,"Action, Adventure",Christopher McQuarrie,"Tom Cruise, Henry Cavill, Ving Rhames, Simon Pegg, Rebecca Ferguson","When an IMF mission ends badly, the world is faced with dire consequences. As Ethan Hunt takes it upon himself to fulfill his original briefing, the CIA begin to question his loyalty and his motives. The IMF team find themselves in a race against time, hunted by assassins while trying to prevent a global catastrophe."
335787,Uncharted,6.872,6678,"Action, Adventure",Ruben Fleischer,"Tom Holland, Mark Wahlberg, Sophia Ali, Tati Gabrielle, Antonio Banderas","A young street-smart, Nathan Drake and his wisecracking partner Victor “Sully” Sullivan embark on a dangerous pursuit of “the greatest treasure never found” while also tracking clues that may lead to Nathan’s long-lost brother."
